solo_id,performer,phrase_number,length_beats,num_notes,note_density,pitch_mean,pitch_range,pitch_std,rest_ratio,contour,starts_on_downbeat,phrase_duration
1,Art Pepper,1,3.995827664399094,7,1.7518273028555857,60.857142857142854,7,2.695423180587601,0.2855132337585694,descending,True,1.997913832199547
1,Art Pepper,2,9.634739229024945,28,2.9061502687741823,57.892857142857146,12,2.5402374145833257,0.19111680144601623,ascending,False,4.817369614512472
1,Art Pepper,3,3.7224489795918316,12,3.2236842105263204,58.5,12,3.1490739379485304,0.2987938596491202,descending,True,1.8612244897959158
1,Art Pepper,4,9.724489795918366,27,2.7764952780692553,59.51851851851852,18,4.049420355139737,0.1680587618048257,ascending,False,4.862244897959183
1,Art Pepper,5,0.6469387755102076,2,3.0914826498422543,64.0,4,2.0,0.1135646687697182,ascending,False,0.3234693877551038
1,Art Pepper,6,2.083990929705216,4,1.919394150417827,61.5,4,1.6583123951777,0.21448467966573462,flat,True,1.041995464852608
1,Art Pepper,7,1.826757369614512,5,2.7370903674280047,64.0,8,3.0983866769659336,0.30148957298906526,ascending,False,0.913378684807256
1,Art Pepper,8,2.793877551020401,10,3.5792549306062913,69.0,10,3.0659419433511785,0.0701241782322899,arch,False,1.3969387755102005
1,Art Pepper,9,2.8956462585033904,9,3.1081144575482895,62.0,10,3.2317865716108862,0.20675343388307288,flat,False,1.4478231292516952
1,Art Pepper,10,3.062131519274388,7,2.2859893364928823,64.85714285714286,10,3.6811710647786073,0.258767772511852,ascending,False,1.531065759637194
1,Art Pepper,11,8.658140589569157,16,1.847971840429099,63.75,14,4.25,0.13442842775729225,descending,True,4.329070294784579
1,Art Pepper,12,1.4938775510204039,5,3.3469945355191353,75.0,9,3.03315017762062,0.07786885245901413,ascending,True,0.7469387755102019
1,Art Pepper,13,7.576780045351484,27,3.5635190461368977,68.70370370370371,20,5.842467862729184,0.19544137716378593,descending,False,3.788390022675742
1,Art Pepper,14,8.07755102040818,21,2.599797877716013,59.95238095238095,16,4.942297426792046,0.16024928415024525,descending,False,4.03877551020409
1,Art Pepper,15,8.126530612244906,22,2.7071823204419863,58.31818181818182,14,3.3082041768961385,0.1828840895139209,ascending,True,4.063265306122453
1,Art Pepper,16,0.7401360544217539,2,2.7022058823529953,65.5,3,1.5,0.35686274509805277,arch,False,0.37006802721087695
1,Art Pepper,17,6.1837641723356,13,2.1022793945083316,73.38461538461539,13,3.4760380085215394,0.20887115700539904,ascending,False,3.0918820861678
1,Art Pepper,18,1.3467573696145223,2,1.4850484913792994,77.5,7,3.5,0.023706896551737147,ascending,False,0.6733786848072612
1,Art Pepper,19,1.3641723356009265,2,1.4660904255318938,80.5,3,1.5,0.04468085106385399,arch,False,0.6820861678004633
1,Art Pepper,20,1.7429478458049914,7,4.016184429641958,79.57142857142857,9,2.821202522590214,0.09408825978351698,ascending,True,0.8714739229024957
1,Art Pepper,21,3.187755102040825,2,0.627400768245837,85.0,2,1.0,0.014084507042257414,arch,False,1.5938775510204124
1,Art Pepper,22,5.023945578231292,17,3.383794616259547,75.58823529411765,16,4.716165235959399,0.14455938904835725,descending,True,2.511972789115646
1,Art Pepper,23,6.016326530612247,16,2.6594301221166883,69.3125,11,3.736956482219187,0.3239484396200785,flat,True,3.0081632653061234
1,Art Pepper,24,0.6443537414966158,2,3.1038851351350525,70.5,3,1.5,0.07207207207211022,flat,False,0.3221768707483079
1,Art Pepper,25,0.5572789115646515,3,5.383300781249752,72.33333333333333,3,1.247219128924647,0.09635416666671581,flat,False,0.27863945578232574
1,Art Pepper,26,9.189024943310642,32,3.4824151852254053,70.59375,18,5.030279409486117,0.1419222379058128,descending,False,4.594512471655321
1,Art Pepper,27,3.333514739229031,5,1.4999183717892877,80.8,9,3.4292856398964497,0.14309425337395848,arch,True,1.6667573696145155
1,Art Pepper,28,7.198095238095249,20,2.7785128340830867,70.2,19,6.120457499239742,0.12261369220882641,descending,False,3.5990476190476244
1,Art Pepper,29,2.359999999999985,9,3.8135593220339223,78.11111111111111,7,2.3778816176702997,0.2904608170951932,arch,False,1.1799999999999926
1,Art Pepper,30,5.638775510204084,12,2.1281216069489677,82.41666666666667,10,2.9285472318009296,0.355169501749302,flat,False,2.819387755102042
1,Art Pepper,31,12.29795918367347,37,3.0086292731496846,72.64864864864865,21,6.874222181911344,0.1662167643913394,descending,False,6.148979591836735
1,Art Pepper,32,6.81795918367348,10,1.4667145593869708,70.6,12,3.746998799039039,0.21088761174968196,ascending,False,3.40897959183674
1,Art Pepper,33,2.1794557823129423,5,2.2941506960484244,81.6,9,3.261901286060018,0.07295503256550823,ascending,False,1.0897278911564712
1,Art Pepper,34,0.8997732426303742,1,1.111391129032272,91.0,0,0.0,0.0,flat,False,0.4498866213151871
1,Art Pepper,35,13.110566893424021,28,2.135681868496792,73.42857142857143,27,7.729482386239306,0.25116919415540634,descending,False,6.555283446712011
1,Art Pepper,36,1.2775510204081684,5,3.9137380191693136,70.4,4,1.4966629547095764,0.1389776357827555,flat,True,0.6387755102040842
1,Art Pepper,37,0.6211337868481337,2,3.2199182242987483,72.0,4,2.0,0.060747663551429666,ascending,False,0.31056689342406685
1,Art Pepper,38,0.8243083900227361,3,3.6394146126757896,74.66666666666667,9,3.681787005729087,0.11971830985921272,ascending,False,0.4121541950113681
1,Art Pepper,39,7.067346938775472,15,2.122437193185111,76.86666666666666,12,3.9810663004889646,0.2240574967112617,descending,False,3.533673469387736
1,Art Pepper,40,2.9769614512471207,10,3.3591298254167046,73.6,33,10.297572529484802,0.43219280338806315,descending,False,1.4884807256235604
