solo_id,performer,phrase_number,length_beats,num_notes,note_density,pitch_mean,pitch_range,pitch_std,rest_ratio,contour,starts_on_downbeat,phrase_duration
47,Cannonball Adderley,1,11.164036281179138,19,1.7018934300698307,63.473684210526315,15,4.357309902277727,0.046297838459257536,descending,False,5.582018140589569
47,Cannonball Adderley,2,13.399909297052151,30,2.23882112445341,62.666666666666664,21,5.159672685570492,0.10178767243830042,descending,True,6.6999546485260755
47,Cannonball Adderley,3,3.840680272108848,7,1.8225937865315789,59.714285714285715,14,5.091008480344418,0.0067306670445282475,descending,True,1.920340136054424
47,Cannonball Adderley,4,6.342312925170063,13,2.0497254161661247,61.61538461538461,12,3.89355407225962,0.029417653452317834,descending,True,3.1711564625850315
47,Cannonball Adderley,5,5.791473922902497,9,1.5540085511581643,68.0,16,4.988876515698588,0.15248782321341986,flat,False,2.8957369614512487
47,Cannonball Adderley,6,2.800680272108849,8,2.856448870536793,70.0,8,2.6457513110645907,0.015108088413892785,descending,False,1.4003401360544245
47,Cannonball Adderley,7,8.031111111111109,20,2.4903154399557286,66.5,22,6.176568626672903,0.06112849124154747,ascending,False,4.015555555555554
47,Cannonball Adderley,8,4.091337868480721,17,4.155120047886141,64.11764705882354,12,3.1414188053691032,0.026913782783158535,descending,True,2.0456689342403607
47,Cannonball Adderley,9,2.921179138321989,4,1.3693100664472488,58.5,9,3.5,0.09988821958640924,descending,False,1.4605895691609945
47,Cannonball Adderley,10,2.077097505668931,7,3.3700873362445467,68.42857142857143,15,5.473498303048005,0.05229257641921448,ascending,False,1.0385487528344655
47,Cannonball Adderley,11,2.5470294784580574,7,2.748299561981403,66.71428571428571,11,3.9538150008851565,0.11196182472134796,ascending,False,1.2735147392290287
47,Cannonball Adderley,12,8.360226757369603,26,3.10996349196878,66.76923076923077,20,5.590566864802038,0.03749532122185494,ascending,False,4.180113378684801
47,Cannonball Adderley,13,8.509841269841274,30,3.5253301499664236,66.06666666666666,18,5.09204172104755,0.11524605365536379,descending,False,4.254920634920637
47,Cannonball Adderley,14,10.289024943310665,21,2.041009727909446,63.714285714285715,17,4.130523512800274,0.0984118868265514,ascending,False,5.144512471655332
47,Cannonball Adderley,15,10.640362811791391,40,3.7592703094365327,62.425,17,3.85932312718176,0.05960276191288278,descending,False,5.3201814058956955
47,Cannonball Adderley,16,6.959863945578235,8,1.1494477568175148,71.5,14,5.220153254455275,0.04754830091552304,arch,True,3.4799319727891174
47,Cannonball Adderley,17,5.769206349206343,13,2.2533428712925794,67.61538461538461,17,5.092052050287805,0.04578220436910512,descending,False,2.8846031746031713
47,Cannonball Adderley,18,3.7030385487528292,14,3.780678979081963,65.42857142857143,15,4.321280989215478,0.04047665703227881,flat,False,1.8515192743764146
47,Cannonball Adderley,19,2.5125170068027387,8,3.184058049493669,69.375,15,4.922842166878804,0.08093716719913449,ascending,False,1.2562585034013694
47,Cannonball Adderley,20,8.555646258503401,16,1.8701100438903377,71.25,18,5.379358697837503,0.020604075228467075,ascending,False,4.277823129251701
47,Cannonball Adderley,21,4.649705215419516,9,1.9356065778436626,61.22222222222222,11,3.909469352390929,0.1573747147065212,descending,True,2.324852607709758
47,Cannonball Adderley,22,4.280136054421774,7,1.6354620299437341,63.714285714285715,14,5.724989974146823,0.14285260179916132,ascending,False,2.140068027210887
47,Cannonball Adderley,23,8.060362811791379,21,2.60534178055601,64.95238095238095,21,5.842994914353512,0.10425868306598136,descending,False,4.030181405895689
47,Cannonball Adderley,24,9.704807256235824,36,3.7095018014776335,64.97222222222223,21,4.974859635714532,0.062362435803367776,flat,False,4.852403628117912
47,Cannonball Adderley,25,12.97192743764171,27,2.081417748425872,63.44444444444444,21,5.724109721062781,0.054941597239458136,descending,False,6.485963718820855
47,Cannonball Adderley,26,1.8436281179138518,7,3.7968611630423683,66.14285714285714,7,2.356060357495806,0.0,arch,False,0.9218140589569259
47,Cannonball Adderley,27,2.1283900226757453,9,4.228548294304388,69.44444444444444,11,3.0590888662080453,0.03839679529523099,arch,False,1.0641950113378726
47,Cannonball Adderley,28,3.469433106575991,16,4.6117044221643795,64.5625,12,3.7243917288598953,0.025202284937455372,descending,False,1.7347165532879956
47,Cannonball Adderley,29,3.3524716553287988,16,4.77259814398961,64.125,12,3.838538133196022,0.12982603284543467,descending,True,1.6762358276643994
47,Cannonball Adderley,30,6.188117913832201,19,3.0704004455909937,60.1578947368421,11,3.7171460174757,0.03506830440900775,flat,True,3.0940589569161006
47,Cannonball Adderley,31,7.826485260770994,19,2.4276542236953365,67.0,16,5.170768038237952,0.06483015981549674,flat,True,3.913242630385497
47,Cannonball Adderley,32,5.548480725623563,18,3.244131301902843,66.16666666666667,16,4.833333333333333,0.03159125089909607,arch,False,2.7742403628117813
47,Cannonball Adderley,33,6.1556916099773105,9,1.4620615473024279,60.77777777777778,11,3.154459903684087,0.038487324379486786,descending,False,3.0778458049886552
48,Cannonball Adderley,1,13.969614512471654,33,2.3622699087751196,64.6969696969697,17,4.379600427912647,0.10195435509528297,descending,False,6.984807256235827
48,Cannonball Adderley,2,4.664308390022676,10,2.143940572495333,66.6,21,6.102458520956943,0.08649657747355331,ascending,False,2.332154195011338
48,Cannonball Adderley,3,9.061587301587302,16,1.765695067264574,64.1875,21,5.736056463285556,0.14026465406790417,descending,True,4.530793650793651
48,Cannonball Adderley,4,15.371700680272106,49,3.187675912977289,65.87755102040816,24,5.8610880548045365,0.18656069108353462,arch,False,7.685850340136053
48,Cannonball Adderley,5,13.544126984126983,29,2.1411494468404277,66.10344827586206,24,5.9326381152018115,0.16639321207575722,ascending,True,6.7720634920634915
48,Cannonball Adderley,6,1.2124263038548833,5,4.123961995960173,76.2,4,1.4696938456699067,0.060372559287797785,flat,False,0.6062131519274416
48,Cannonball Adderley,7,6.392562358276649,20,3.128635886375888,65.1,15,4.515528761950255,0.20883112460626102,flat,True,3.1962811791383245
48,Cannonball Adderley,8,11.214784580498858,22,1.9616961736612681,69.13636363636364,22,5.311184207495576,0.1292349748873741,descending,False,5.607392290249429
48,Cannonball Adderley,9,6.3860317460317475,13,2.035692980711871,68.61538461538461,24,7.2699429850527135,0.06539925574525181,ascending,True,3.1930158730158738
48,Cannonball Adderley,10,3.8332426303854845,14,3.6522603315074034,70.64285714285714,14,4.168026988827188,0.24498657170236984,flat,False,1.9166213151927423
48,Cannonball Adderley,11,3.239183673469398,8,2.469758064516121,64.5,15,4.55521678957215,0.37425795250895605,descending,False,1.619591836734699
